config_id,acc,alpha,booster,lambda,nrounds,num.impute.selected.cpo,subsample,colsample_bylevel,colsample_bytree,eta,gamma,max_depth,min_child_weight,rate_drop,skip_drop,repl,trainsize
1,-0.8675962686538696,0.0507839509279,dart,0.0019095096506,9,impute.median,0.8503118459135,0.0442538053542,0.6800216739718,0.0068723830047,0.3408572533185,8.0,12.0375337016016,0.9202914051712,0.951748133637,10,1.0
2,-0.09911052882671356,1010.995067922611,gblinear,69.997244856524,2024,impute.mean,0.3833111376502,,,,,,,,,10,1.0
3,-0.09022274613380432,1.3614814825807,gbtree,0.2038405978987,97,impute.mean,0.2810869938694,0.3438869569171,0.127577313371,0.2542865112562,0.0060953134095,9.0,57.0837678657971,,,10,1.0
4,-0.9713985919952393,0.0145514844734,gblinear,6.6991212179935,183,impute.hist,0.7414954962209,,,,,,,,,10,1.0
5,-0.8644396662712097,0.0009229376496,dart,322.8403181985616,337,impute.hist,0.9186214113608,0.4704930274747,0.1477961402852,0.911401958115,0.0001200685445,11.0,3.662913274789,0.7482402352616,0.286300224252,10,1.0
6,-0.09766612946987152,20.4972426640954,gbtree,0.0088522515252,37,impute.mean,0.4836450382136,0.7523223444726,0.9518168895412,0.0010676564163,0.0204623793205,3.0,137.86214069956,,,10,1.0
7,-0.09276343882083893,64.2343983759019,dart,1.4500467214381,763,impute.median,0.1499380924739,0.170950522339,0.5688788582385,0.0247108461946,0.4117317148709,5.0,25.3721371222542,0.802104008384,0.2005689060315,10,1.0
8,-0.9232819080352783,0.7658867676137,gblinear,0.0440464692528,16,impute.hist,0.5915075834841,,,,,,,,,10,1.0
9,-0.9715042114257812,0.2856095010393,gbtree,3.6870774374233,50,impute.median,0.6931292134337,0.4420449324325,0.219155646693,0.4233515777212,1.8229798916139,12.0,9.0210464049924,,,10,1.0
10,-0.10272188484668732,171.6975716710004,gblinear,0.1118251445656,523,impute.median,0.2592505326495,,,,,,,,,10,1.0
11,-0.0996541753411293,7.6437912108488,dart,735.9232412223406,26,impute.hist,0.3754277423024,0.2003029831592,0.5250740069058,0.0142873354841,0.0005441925272,4.0,71.3794125077226,0.4458863511682,0.3308268105611,10,1.0
12,-0.982761025428772,0.0024670278541,gblinear,0.0201435158858,1051,impute.mean,0.8158977706917,,,,,,,,,10,1.0
13,-0.9514878392219543,0.0054449426719,dart,0.5183936040105,2597,impute.mean,0.6238333997317,0.0735780674405,0.7252848711796,0.0095340278427,0.0013753883533,1.0,2.7571868177182,0.3317124927416,0.5792950997129,10,1.0
14,-0.828804612159729,3.6516241230715,gblinear,17.0050211616329,15,impute.hist,0.1596900202334,,,,,,,,,10,1.0
15,-0.09602897614240646,378.3147663746168,gbtree,0.0043525563362,305,impute.hist,0.507568041794,0.3154710731935,0.0557281462383,0.2835354303767,0.0751358756227,14.0,31.6189798734395,,,10,1.0
16,-0.8946570754051208,0.1362131854267,gbtree,159.2887872384789,127,impute.median,0.96512087835,0.5285973891057,0.8606707278173,0.0027765214182,6.92108868e-05,7.0,17.0082400203594,,,10,1.0
17,-0.8932708501815796,0.1099662614148,dart,0.1377317679531,843,impute.hist,0.2011780629866,0.8008104141336,0.0346442744788,0.0017129990025,0.0326885931063,6.0,4.2794954242406,0.3769821971655,0.2673451062292,10,1.0
18,-0.09045536071062088,197.3606331404143,gbtree,4.5180490301221,22,impute.mean,0.6387362299487,0.0277878672071,0.8393430620339,0.6166112439653,0.0001588980461,15.0,125.6701416035858,,,10,1.0
19,-0.9512102007865906,4.5039459700985,dart,0.0164031221835,441,impute.mean,0.9794812820852,0.5782821568288,0.7118050170504,0.0511123926516,0.0031602909034,9.0,20.3734295226973,0.0717160683125,0.2436863146722,10,1.0
20,-0.9174240827560425,0.010410597304,gblinear,600.2995937060842,40,impute.median,0.5493925106712,,,,,,,,,10,1.0
21,-0.9398664832115173,0.0047289988218,dart,32.4404396304916,74,impute.median,0.2175771241076,0.7049787484203,0.5387869671267,0.0771033937264,0.000278973447,10.0,9.6600720028812,0.2054059794173,0.9946216437966,10,1.0
22,-0.6029963493347168,9.4682904931278,gblinear,0.9838857380487,170,impute.median,0.6784804135561,,,,,,,,,10,1.0
23,-0.3065381348133087,89.8018286513484,gbtree,83.7499860931981,8,impute.mean,0.8018051838502,0.9274163740501,0.2404878635146,0.0026112823385,3.5546946365546,5.0,66.6521737222534,,,10,1.0
24,-0.9672590494155884,0.2315625484676,gblinear,0.0022923808698,1513,impute.hist,0.3334315869026,,,,,,,,,10,1.0
25,-0.9522684812545776,0.6183085324508,dart,36.6929430676667,229,impute.mean,0.4414257179946,0.6717274567392,0.617282272689,0.1657242979037,0.7834453265479,13.0,3.4341030254768,0.5464835111052,0.5994709227234,10,1.0
26,-0.09731487184762955,33.5101201329855,gblinear,0.0010061187684,115,impute.hist,0.9047451161779,,,,,,,,,10,1.0
27,-0.8816119432449341,25.2814619870915,dart,12.7417922026543,2401,impute.median,0.5779539882205,0.9596386737935,0.1885804161523,0.0045081847041,6.29406478e-05,3.0,27.0665502380516,0.9735762961209,0.8882512003183,10,1.0
28,-0.5283266305923462,0.00176462981,gbtree,0.3870427162987,11,impute.mean,0.1071626195684,0.2477056025621,0.9923578434531,0.1895543436663,0.0389609108904,11.0,18.6559089943887,,,10,1.0
29,-0.9073135852813721,0.0278934408437,gbtree,0.0071870078198,28,impute.median,0.4257982211187,0.8330647039134,0.0870281498879,0.0012325353223,0.01432087477,3.0,7.7250596373658,,,10,1.0
30,-0.921756386756897,1.6864497670753,gbtree,263.4550217695672,1369,impute.hist,0.8640165082179,0.1190469677001,0.767011910826,0.688600514236,2.9118886278494,8.0,39.0422200772197,,,10,1.0
31,-0.09785576164722443,528.7744068469406,dart,0.054088858757,67,impute.hist,0.7548636720516,0.5450024156272,0.6318683748413,0.0457663892963,0.1447023183713,14.0,88.9364863510395,0.6764040244743,0.3497821651399,10,1.0
32,-0.9707558751106262,0.0411740173014,gblinear,1.7776067663891,579,impute.mean,0.3241165507585,,,,,,,,,10,1.0
33,-0.10105258226394653,0.0316172247069,gbtree,947.3546852298682,1665,impute.median,0.1149055585265,0.5916547766607,0.2980550376046,0.5385927468732,0.2246528190554,3.0,109.9683757698108,,,10,1.0
34,-0.09393283724784851,701.578202034146,gbtree,0.0263354124528,7,impute.median,0.5562552978285,0.3756885041483,0.6068626625556,0.0014125496533,0.0002408161109,11.0,2.9217958572521,,,10,1.0
35,-0.8769914507865906,2.0298405319046,dart,2.7105410747291,154,impute.mean,0.8974316525273,0.7869036189653,0.9742871729285,0.0181763833845,0.0048455719722,12.0,15.9331403537609,0.8372822431847,0.3682829551399,10,1.0
36,-0.9751614928245544,0.024181729677,gblinear,0.0812213020898,82,impute.hist,0.4626749774441,,,,,,,,,10,1.0
37,-0.6687725186347961,0.0015272447853,dart,0.0036678879033,44,impute.hist,0.3023042453453,0.9134774726722,0.7703771813307,0.0113133437365,0.0001997149165,13.0,33.5768980528452,0.9397987443954,0.6200326327235,10,1.0
38,-0.10035630315542221,30.378039241295,gblinear,132.6213988848679,400,impute.mean,0.7624929959886,,,,,,,,,10,1.0
39,-0.9112417697906494,44.2326610066479,dart,0.582190343202,20,impute.mean,0.8853718725033,0.7183796979114,0.4730066775903,0.3364486704022,0.5677859750538,2.0,7.0507673790507,0.5089832954109,0.8932031393051,10,1.0
40,-0.14838293194770813,0.4723543177008,gbtree,19.3957822638127,928,impute.median,0.418590862304,0.5041959516052,0.6580206361786,0.0022767445306,0.0040155989722,9.0,76.1783544455271,,,10,1.0
41,-0.09371183067560196,0.1763023794213,dart,0.2555214076323,635,impute.median,0.5285655415617,0.942163494071,0.8188929324783,0.0052584923606,2.5147330269251,9.0,146.5547980631458,0.3120964234695,0.9739245418459,10,1.0
42,-0.09951703250408173,118.1352394443399,gblinear,8.4977690220451,61,impute.hist,0.9863381298259,,,,,,,,,10,1.0
43,-0.9841059446334839,0.0133168158246,gbtree,0.0084247198512,902,impute.hist,0.4319416054018,0.3236677609472,0.1523291562694,0.0201406581769,0.1493550865857,15.0,3.7576276965577,,,10,1.0
44,-0.9800300002098083,0.0015716348697,gblinear,0.3711174408662,948,impute.mean,0.8460672027454,,,,,,,,,10,1.0
45,-0.9827104210853577,0.0012364134055,gblinear,0.0871832525562,1236,impute.mean,0.9503556282479,,,,,,,,,10,1.0
46,-0.9838882088661194,0.0010106401109,gblinear,0.0133171505814,959,impute.mean,0.9277163327494,,,,,,,,,10,1.0
47,-0.9834210872650146,0.0013352322046,gblinear,0.0274549125044,1051,impute.mean,0.92260183,,,,,,,,,10,1.0
48,-0.9836686849594116,0.0016028990756,gblinear,0.0082414024108,1057,impute.mean,0.8847378985427,,,,,,,,,10,1.0
49,-0.9837456345558167,0.0017601286701,gblinear,0.0023255774752,991,impute.mean,0.9672168364157,,,,,,,,,10,1.0
50,-0.9625714421272278,0.0028903214037,gblinear,25.8559735715192,1147,impute.mean,0.8406865725565,,,,,,,,,10,1.0
51,-0.9821688532829285,0.0017710352629,gbtree,0.0154344938173,623,impute.hist,0.9994548929894,0.4790730793579,0.6410760337744,0.0648525134572,0.3522077693659,15.0,5.2685228655161,,,10,1.0
52,-0.9654858708381653,0.0017794943948,gbtree,0.0133171505814,959,impute.hist,0.9277163327494,0.5668046442477,0.544350385933,0.0181112509376,0.0183156389,13.0,36.8396231667629,,,10,1.0
53,-0.9600393176078796,0.0017487034055,gbtree,0.0083968180985,848,impute.hist,0.9364961852317,0.8800850034906,0.1750510781468,0.0241949646026,0.7149308416361,10.0,49.9691068294076,,,10,1.0
54,-0.9714338183403015,0.0017601286701,gbtree,0.0162892412647,991,impute.hist,0.9330415390915,0.505,0.4120836900379,0.0283232884047,0.0642871519505,9.0,31.4155171772304,,,10,1.0
55,-0.9522684812545776,0.0178207719161,gbtree,0.0092648262682,534,impute.hist,0.8884335716863,0.3454588587561,0.9989192095601,0.002639593308,0.5786538155181,15.0,16.2148841920141,,,10,1.0
56,-0.9722104668617249,0.0017529885756,gbtree,0.0144138127243,881,impute.mean,0.9001756009422,0.4962359113491,0.505,0.0438069190167,0.3263882503649,13.0,24.4349007968536,,,10,1.0
57,-0.9627569317817688,0.0017533572089,gbtree,0.0109606665986,576,impute.mean,0.9999421489702,0.2982999609369,0.7962037483524,0.0034293476803,0.0032943368313,7.0,4.6659596325939,,,10,1.0
58,-0.16136518120765686,0.0017777319239,gbtree,0.0125325168032,1037,impute.mean,0.7066332094175,0.0584339684037,0.7336504689859,0.0092204045913,0.8371972392792,7.0,128.3696435545879,,,10,1.0
59,-0.9837812781333923,0.0017300889758,gbtree,0.0021221299115,907,impute.hist,0.4699224317025,0.1520287219653,0.1182890490223,0.0185170820488,0.0021641381023,14.0,3.0427913572715,,,10,1.0
60,-0.9702690243721008,0.0467191321101,gblinear,0.0013883067435,46,impute.mean,0.1164326706986,,,,,,,,,10,1.0
61,-0.9775469899177551,0.0018022355007,gbtree,0.0020302344837,893,impute.hist,0.6091173798061,0.3762469625959,0.1569665470255,0.5780182874897,0.000186626322,14.0,3.5296182646739,,,10,1.0
62,-0.952368438243866,0.0017851697655,gbtree,0.003158304684,932,impute.hist,0.4850572511792,0.6053470002747,0.0823880926634,0.9202027356518,0.1644628910417,15.0,2.8591294859608,,,10,1.0
63,-0.9838281869888306,0.0019869775359,gbtree,0.0014005469797,945,impute.hist,0.2964856042361,0.5558230362928,0.1617647791556,0.0241653392384,0.6951578896727,14.0,4.175227278454,,,10,1.0
64,-0.9794899225234985,0.0104095030722,gbtree,0.0084247198512,902,impute.hist,0.267190634819,0.325709393609,0.0679023604732,0.0201406581769,0.1493550865857,15.0,3.0842753591134,,,10,1.0
65,-0.9287501573562622,0.0053763559706,dart,0.0026765759785,1029,impute.mean,0.604563480233,0.3103280147767,0.7118260358419,0.0064500525329,0.7230501284271,2.0,8.2154301144015,0.6085164267627,0.5751661200119,10,1.0
66,-0.9852647185325623,0.0015423388229,gbtree,0.0033042657252,911,impute.hist,0.5935446493651,0.5153187169266,0.1538693561923,0.0471903623549,0.000456206965,12.0,4.0014886503002,,,10,1.0
67,-0.9662854075431824,0.0012401724122,dart,0.0013446297133,902,impute.hist,0.2555655646227,0.214954154594,0.1448229227785,0.0563995063542,0.1493550865857,14.0,3.6377673096559,0.4565387407925,0.6395847613807,10,1.0
68,-0.9605796933174133,0.0012167095298,dart,0.003593666565,911,impute.mean,0.5935446493651,0.5231965689965,0.1538693561923,0.0639768013029,0.000456206965,14.0,4.0014886503002,0.4945267737642,0.5,10,1.0
69,-0.9553393721580505,0.0009796410369,dart,0.0055536913657,862,impute.hist,0.3212590798403,0.530125578938,0.1419500667815,0.0469109528694,1.1023095271094,14.0,4.175227278454,0.5,0.495239316129,10,1.0
70,-0.9640579223632812,0.0013221801795,dart,0.0042693570431,907,impute.hist,0.4926979826812,0.1346193675757,0.209272080264,0.056894602345,0.0021641381023,14.0,2.8082239122303,0.5,0.4833382195396,10,1.0
71,-0.971704363822937,0.0011312070731,gbtree,0.0012854237121,899,impute.mean,0.9344450713885,0.505,0.6457298903867,0.0301973834,0.0409523949933,8.0,20.0855369232,,,10,1.0
72,-0.9566704630851746,0.0010399903416,dart,0.0012131494417,799,impute.mean,0.92957492384,0.413326938194,0.1835507174418,0.0027996338233,0.0002471110638,14.0,4.0787191484607,0.119193894149,0.5000995712212,10,1.0
73,-0.9703708291053772,0.0010713916518,gbtree,0.0012333331659,700,impute.hist,0.3909649372647,0.4314552603971,0.533458469804,0.0301973834,0.0168233649743,3.0,20.0855369232,,,10,1.0
74,-0.9536026120185852,0.0010208591941,dart,0.0026312604115,698,impute.median,0.9268438916899,0.5305182562096,0.4395824726698,0.0304711364083,0.0101768673779,14.0,20.0855369232,0.5,0.4488112504784,10,1.0
75,-0.9733125567436218,0.0014225361822,gbtree,46.5511125249463,1004,impute.mean,0.8920551923347,0.0956417091368,0.1574127546741,0.0305356283854,8.78233133e-05,8.0,3.8174824850373,,,10,1.0
76,-0.09683384001255035,0.0089340131723,dart,15.4733067628104,295,impute.median,0.4592164105084,0.6772297499724,0.0289961545858,0.6595209087103,0.0010316385886,7.0,104.5519143935617,0.7099014236949,0.9588653096492,10,1.0
77,-0.9841960668563843,0.0015423388229,gbtree,0.0033061468864,911,impute.mean,0.5807220626053,0.5153187169266,0.1618960942727,0.0507139417807,0.0004052674614,12.0,3.8874653725641,,,10,1.0
78,-0.98182612657547,0.0014890354352,gbtree,0.00400033334,1009,impute.median,0.4661603524406,0.6445301138686,0.8460313194575,0.0265019240086,0.0051522555649,2.0,3.8395513132466,,,10,1.0
79,-0.983023464679718,0.0013876149637,gbtree,0.0052478745513,999,impute.hist,0.8717882526579,0.9032780442074,0.7429818852174,0.025034697299,0.0004989323993,4.0,2.7964276522305,,,10,1.0
80,-0.9848288893699646,0.0015432198931,gbtree,0.0024349324702,907,impute.mean,0.4295320415573,0.1322682507875,0.1585316807889,0.044835060779,0.0024956719563,12.0,3.2400667028122,,,10,1.0
81,-0.942314863204956,0.0011997342659,gbtree,357.701763174459,2635,impute.mean,0.9091282550577,0.3019662927411,0.1823990351841,0.2988487326132,2.7067398596071,7.0,3.0811696361285,,,10,1.0
82,-0.9547528028488159,0.0015429155722,gbtree,0.3206213274478,902,impute.mean,0.9084677863537,0.776419986806,0.8710634339796,0.0021165950653,6.7924646089163,6.0,2.9253997585377,,,10,1.0
83,-0.12780751287937164,0.172316602256,dart,166.8638187868424,8,impute.hist,0.5175615838882,0.495654445434,0.333122979568,0.6326412532807,6.3814591430475,3.0,82.6954831028267,0.9392616759925,0.4102271695562,10,1.0
84,-0.09734940528869629,196.7620324800502,dart,6.0235996060854,154,impute.mean,0.1917493022079,0.2232687146987,0.5737908693918,0.0144712049369,0.0008107511318,4.0,4.4615033962985,0.4839681090495,0.1107381777925,10,1.0
85,-0.9718600511550903,0.1176117709563,dart,4.961699117177,1575,impute.mean,0.8277967541536,0.9762179386997,0.4663384953572,0.0995883462013,0.0002992677945,15.0,4.2864848664605,0.2448133563605,0.5152134823514,10,1.0
